CKT_TRAIL_ID,TRAIL_NAME,A_EQUIPMENT_TID,A_EQUIPMENT_MODEL,Z_EQUIPMENT_TID,Z_EQUIPMENT_MODEL
102110,I1001/GE100/FTWSPAFW/LNDLPALD,FTWSPAFW-0330506A,CISCO_NCS4016_SHELF,LNDLPALD-0222708A,CISCO_NCS4016_SHELF
133134,I1001/GE100/FTWSPAFW/PHLAPACH,FTWSPAFW-0330506A,CISCO_NCS4016_SHELF,PHLAPACH-0331505A,CISCO_NCS4016_SHELF
102541,I1001/GE100/FTWSPAFW/PHLAPADE,FTWSPAFW-0330506A,CISCO_NCS4016_SHELF,PHLAPADE-0118404A,CISCO_NCS4016_SHELF
102262,I1001/GE100/FTWSPAFW/PHLAPAGE,FTWSPAFW-0330506A,CISCO_NCS4016_SHELF,PHLAPAGE-0332707A,CISCO_NCS4016_SHELF
133062,I1001/GE100/FTWSPAFW/PHLAPAIV,FTWSPAFW-0330506A,CISCO_NCS4016_SHELF,PHLAPAIV-0221317A,CISCO_NCS4016_SHELF
102553,I1001/GE100/FTWSPAFW/PHLAPAJE,FTWSPAFW-0330606A,CISCO_NCS4016_SHELF,PHLAPAJE-0114305A,CISCO_NCS4016_SHELF
102549,I1001/GE100/FTWSPAFW/PHLAPAKR,FTWSPAFW-0330606A,CISCO_NCS4016_SHELF,PHLAPAKR-0222604A,CISCO_NCS4016_SHELF
102155,I1001/GE100/FTWSPAFW/PHLAPALO,FTWSPAFW-0330506A,CISCO_NCS4016_SHELF,PHLAPALO-12121208A,CISCO_NCS4016_SHELF
102506,I1001/GE100/FTWSPAFW/PHLAPAMK,FTWSPAFW-0330506A,CISCO_NCS4016_SHELF,PHLAPAMK-0995501A,CISCO_NCS4016_SHELF
102248,I1001/GE100/FTWSPAFW/PHLAPASH,FTWSPAFW-0330606A,CISCO_NCS4016_SHELF,PHLAPASH-0113118A,CISCO_NCS4016_SHELF
102546,I1001/GE100/FTWSPAFW/PHLAPATR,FTWSPAFW-0330606A,CISCO_NCS4016_SHELF,PHLAPATR-0225502A,CISCO_NCS4016_SHELF
102537,I1001/GE100/FTWSPAFW/PHLAPAWV,FTWSPAFW-0330506A,CISCO_NCS4016_SHELF,PHLAPAWV-0331212A,CISCO_NCS4016_SHELF
102098,I1001/GE100/FTWSPAFW/PTTWPAPT,FTWSPAFW-0330606A,CISCO_NCS4016_SHELF,PTTWPAPT-0220906A,CISCO_NCS4016_SHELF
113763,I1001/GE100/FTWSPAFW/RYFRPARF,FTWSPAFW-0330506A,CISCO_NCS4016_SHELF,RYFRPARF-0112033A,CISCO_NCS4016_SHELF
113774,I1001/GE100/FTWSPAFW/TULYPATU,FTWSPAFW-0330606A,CISCO_NCS4016_SHELF,TULYPATU-0225829A,CISCO_NCS4016_SHELF
102051,I1001/GE100/FTWSPAFW/WAYNPAWY,FTWSPAFW-0330506A,CISCO_NCS4016_SHELF,WAYNPAWY-0226704A,CISCO_NCS4016_SHELF
102103,I1001/GE100/FTWSPAFW/WCHSPAWC,FTWSPAFW-0330506A,CISCO_NCS4016_SHELF,WCHSPAWC-0220619A,CISCO_NCS4016_SHELF
113767,I1001/GE100/FTWSPAFW/WLGRPAWG,FTWSPAFW-0330606A,CISCO_NCS4016_SHELF,WLGRPAWG-0110229A,CISCO_NCS4016_SHELF
113770,I1001/GE100/FTWSPAFW/YRDLPAYL,FTWSPAFW-0330606A,CISCO_NCS4016_SHELF,YRDLPAYL-0116110A,CISCO NCS4016 SHELF
132950,I1001/GE100/GLBONJGB/MTHLNJMH,GLBONJGB-0114503A,CISCO_NCS4016_SHELF,MTHLNJMH-0111010A,CISCO NCS4016 SHELF
132921,I1001/GE100/GLBONJGB/SALMNJSA,GLBONJGB-0114503A,CISCO_NCS4016_SHELF,SALMNJSA-0112803A,CISCO_NCS4016_SHELF
133048,I1001/GE100/GLBONJGB/VNLDNJVL,GLBONJGB-0114503A,CISCO_NCS4016_SHELF,VNLDNJVL-0111703A,CISCO NCS4016 SHELF
132204,I1001/GE100/GLCVNYGC/GRNKNYGN,GLCVNYGC-0110209A,CISCO_NCS4016_SHELF,GRNKNYGN-0223934A,CISCO_NCS4016_SHELF
116866,I1001/GE100/GLCVNYGC/LVTWNYLT,GLCVNYGC-0110209A,CISCO_NCS4016_SHELF,LVTWNYLT-0111908A,CISCO_NCS4016_SHELF
132205,I1001/GE100/GLCVNYGC/LYBRNYLB,GLCVNYGC-0110209A,CISCO_NCS4016_SHELF,LYBRNYLB-01153A08A,CISCO_NCS4016_SHELF
116867,I1001/GE100/GLCVNYGC/OYBANYOY,GLCVNYGC-0110209A,CISCO_NCS4016_SHELF,OYBANYOY-0112313A,CISCO_NCS4016_SHELF
133277,I1001/GE100/GLLDPAGN/PHLAPADE,GLLDPAGN-0110511A,CISCO_NCS4016_SHELF,PHLAPADE-0118404A,CISCO_NCS4016_SHELF
133278,I1001/GE100/GLLDPAGN/PHLAPASH,GLLDPAGN-0110511A,CISCO_NCS4016_SHELF,PHLAPASH-0113118A,CISCO_NCS4016_SHELF
121564,I1001/GE100/GLNMPAGL/PRBGPAPB,GLNMPAGL-0110613A,CISCO NCS4009 SHELF,PRBGPAPB-0111906A,CISCO_NCS4016_SHELF
133899,I1001/GE100/GLNSPAGL/PITBPANS,GLNSPAGL-0112507A,CISCO_NCS4016_SHELF,PITBPANS-0114309A,CISCO_NCS4016_SHELF
131613,I1001/GE100/GLVYMNNV/MPLTMNFJ,GLVYMNNV-01S20403A,CISCO_NCS4016_SHELF,MPLTMNFJ-01011403A,CISCO_NCS4016_SHELF
130811,I1001/GE100/GLVYMNNV/OTSGMNAO,GLVYMNNV-01S20403A,CISCO_NCS4016_SHELF,OTSGMNAO-0110103B,CISCO NCS4009 SHELF
131617,I1001/GE100/GLVYMNNV/RMSAMN03,GLVYMNNV-01S20403A,CISCO_NCS4016_SHELF,RMSAMN03-0110102B,CISCO NCS4009 SHELF
121610,I1001/GE100/GMBODEGB/MLBODEMB,GMBODEGB-0110501A,CISCO NCS4009 SHELF,MLBODEMB-0110404A,CISCO_NCS4016_SHELF
100122,I1001/GE100/GNBGNYFV/NWRCNYNR,GNBGNYFV-0000805A,CISCO_NCS4016_SHELF,NWRCNYNR-0330604A,CISCO_NCS4016_SHELF
100115,I1001/GE100/GNBGNYFV/YNKRNYYN,GNBGNYFV-0000805A,CISCO_NCS4016_SHELF,YNKRNYYN-0337806A,CISCO_NCS4016_SHELF
125550,I1001/GE100/GNWCCTGN/NWRCNYNR,GNWCCTGN-0221311A,CISCO_NCS4016_SHELF,NWRCNYNR-0330604A,CISCO_NCS4016_SHELF
125551,I1001/GE100/GNWCCTGN/OSNGNYOS,GNWCCTGN-0221311A,CISCO_NCS4016_SHELF,OSNGNYOS-0222110A,CISCO_NCS4016_SHELF
133279,I1001/GE100/GNWDDEGN/LEWSDELW,GNWDDEGN-0110304A,CISCO_NCS4016_SHELF,LEWSDELW-0112506A,CISCO_NCS4016_SHELF
133287,I1001/GE100/GNWDDEGN/NWRKDENB,GNWDDEGN-0110304A,CISCO_NCS4016_SHELF,NWRKDENB-0114705A,CISCO_NCS4016_SHELF
